stagename,dateOfBirth
Mae Marsh,1895
Marion Marsh,1913
Alan Marshal,1909
Arthur Marshal,
Brenda Marshall,1915
Bryan Marshall,
Connie Marshall,1938
Don Marshall,
E.G. Marshall,1910
Herbert Marshall,1890
James Marshall,1967
Ken Marshall,
Penny Marshall,
Sarah Marshall,
Tully Marshall,1864
Zena Marshall,1926
AnneMarie Martin,1957
ChrisPin Martin,1894
Dean Martin,1917
Dewey Martin,1923
Dick Martin,1923
Edie Martin,1880
Jean Martin,
Marion Martin,1916
Mary Martin,1913
Millicent Martin,1934
Pamela Sue Martin,
Ross Martin,1920
Steve Martin,1945
Strother Martin,1920
Tony Martin,1912
Elsa Martinelli,1933
Frederick Martini,
Nino Martini,1904
Al Martino,
Leslie Martinson,
Lee Marvin,1924
Chico Marx,1886
Groucho Marx,1890
Harpo Marx,1888
Gummo Marx,1893
Zeppo Marx,1901
Marx Brothers,n.a.
Ron Masak,
Giulietta Masina,1921
Johnny Mask,
Virginia Maskell,1936
Henry Mason,
Hilary Mason,
Jack Mason,
James Mason,1909
Marsha Mason,1942
Shirley Mason,1900
Lea Massari,1933
Osa Massen,1915
Anna Massey,1937
Daniel Massey,1933
Edith Massey,
Ilona Massey,1912
Raymond Massey,1896
Paul Massie,1932
Mary Stuart Masterson,1967
Peter Masterson,
Sean Masterson,
Mary Elizabeth Mastrantonio,
Chiara Mastroianni,1972
Marcello Mastroianni,1923
Richard Masur,
Clelia Matania,
Julian Mateus,
Aubrey Mather,1885
James Mathers,
Murray Matheson,1912
Tim Matheson,1926
Kerwin Mathews,1926
Walter Matthau,1920
A.E. Matthews,1869
Jessie Matthews,1907
Lester Matthews,1900
Peter Matthey,
Robin Mattson,
Victor Mature,1915
Billy Mauch,1925
Bobby Mauch,1925
Cyril Maude,
Carmen Maura,
Nicole Maurey,1925
Edwin Maxwell,1886
Elsa Maxwell,1883
Lois Maxwell,1927
Marilyn Maxwell,1921
Elaine May,1932
Mathilda May,1965
Russ Mayberry,
Eddie Mayehoff,1911
Peter Mayhew,
Bill Maynard,1928
Ken Maynard,1895
Ferdy Mayne,1916
Virginia Mayo,1920
Mike Mazurki,1909
Melanie Mayron,
Paul Mazursky,1938
Marianne McAndrew,1938
Ray McAnnely,
Andrea McArdle,
May McAvoy,1901
Diane McBain,1941
Donald McBride,1894
Marcia McBroom,
Frances Lee McCain,
Irish McCalla,
Lon McCallister,1923
David McCallum,1933
John McCallum,1917
Neil McCallum,1929
Mercedes McCambridge,1918
Andrew McCarthy,
Kevin McCarthy,1914
Rue McClanahan,
Fergus McClelland,
Sean McClory,1923
Doug McClure,1935
Marc McClure,
Keith McConnell,
Richard McConnell,
Kent McCord,
Patty McCormack,1945
F.J. McCormick,1891
Myron McCormick,1908
Pat McCormick,
Alec McCowen,1925
Tim McCoy,1891
Van McCoy,
Jeff McCracken,
Jody McCrea,
Joel McCrea,1905
Hattie McDaniel,1895
Hugh McDermott,1908
Ruth McDevitt,1895
Marie McDonald,1923
Kit McDonough,
Betty McDowall,
Malcolm McDowell,1943
Roddy McDowall,1928
John McEnery,1945
Peter McEnery,1940
Arnie McEnroe,
Spanky McFarland,1928
Spanky McFarland,
Darren McGavin,1922
Vonetta McGee,
Everett McGill,
Ted McGinley,
John McGiver,1913
Frank McGlynn,1867
Patrick McGoohan,1928
Elizabeth McGovern,1961
Alec McGowan,
Ali McGraw,
Charles McGraw,1914
Angela Punch McGregor,
Julie McGregor,
Biff McGuire,1926
Bill McGuire,
Don McGuire,1919
Dorothy McGuire,1919
Marlena McGuire,
Stephen McHattie,
Frank McHugh,1899
John McIntire,1907
Michael McKean,
Lonette McKee,
Ian McKellen,1935
Siobhan McKenna,1923
T.P. McKenna,
Virginia McKenna,1931
Kate McKenzie,
Leo McKern,1920
Norman McKinnel,
Bill McKinney,
Victor McLaglen,1883
Hollis McLaren,
Gibb McLaughlin,1884
John C. McLaughlin,
Diana McLean,
Catherine McLeod,1924
Allyn Ann McLerie,1926
John McLiam,
Marshall McLuhan,
Ed McMahon,
John McMartin,
Kenneth McMillan,
Barbara McNair,
Stephen McNally,1913
Maggie McNamara,1928
Gus McNaughton,1884
Howard McNear,1905
Patrick McNee,1922
Claudia McNeil,
Kathryn McNeil,
Kristy McNichol,1963
Maggie McOmie,
Butterfly McQueen,1911
Steve McQueen,1930
Frank McRae,
Ian McShane,1942
Michael McShane,1955
Robert McWade,1865
Audrey Meadows,
Jayne Meadows,1920
Joyce Meadows,
Anne Meara,1929
DeAnn Mears,
Sylvie Meda,
Kay Medford,1914
Patricia Medina,1921
Michael Medwin,1923
Donald Meek,1880
George Meeker,
Ralph Meeker,1920
Thomas Meighan,1879
John Meillon,1934
Mariangela Melato,
Claudine Melgrave,
George S. Melies,1861
Marisa Mell,1929
Michael Melling,
Fuller Mellish~jr.,
Breno Mello,
JeanPierre Melville,1917
Sam Melville,
Murray Melvin,1932
Mauro Mendonco,
Adolphe Menjou,1890
Doro Merande,1898
Nerida Mercado,
Beryl Mercer,1882
Vivien Merchant,1929
Michele Mercier,1942
Melina Mercouri,1923
Burgess Meredith,1908
Don Meredith,
Lee Meredith,
John Merivale,
Philip Merivale,1886
Lee Meriwether,1935
Una Merkel,1903
Ethel Merman,1908
Mary Merrall,
Dina Merrill,1928
Gary Merrill,1914
George Merritt,1890
Jane Merrow,1941
William Mervyn,1912
Hannes Messemer,1924
Mayo Methot,1904
Art Metrano,1937
Jim Metzler,
Emile Meyer,1903
Torben Meyer,
Vittorio Mezzoglomo,
Ralph Michael,1907
Beverly Michaels,1927
Dolores Michaels,1930
Drew Michaels,
Jordan Michaels,
Matt Michaels,
Keith Michell,1926
Ann Michelle,
Charlotte Michelle,
Charles Middleton,1874
Guy Middleton,1906
Ray Middleton,1908
Robert Middleton,1911
Bette Midler,1944
Toshiro Mifune,1920
Tatsuta Mihashi,
Mark Mikulski,
Mario Milano,
Bernard Miles,1907
Joanna Miles,1949
Kelly Miles,
Lillian Miles,
Peter Miles,1938
Sarah Miles,1941
Sherry Miles,
Sylvia Miles,1926
Vera Miles,1929
Kim Milford,
Penelope Milford,
Tomas Milian,1938
John Miljan,1893
Ray Milland,1905
Ray Millard,
Ann Miller,1919
Barry Miller,
David Miller,1909
Denny Miller,
Dick Miller,1928
Eve Miller,
Frank Miller,
Glenn Miller,1904
Jason Miller,1939
Kathleen Miller,
Linda Miller,
Mandy Miller,1944
Mark Miller,
Marvin Miller,1913
Max Miller,1895
Patsy Ruth Miller,1905
Penelope Ann Miller,
Seton I. Miller,1902
Walter C. Miller,1892
Andra Millian,
Spike Milligan,1918
Donna Mills,
Hayley Mills,1946
John Mills,1908
Juliet Mills,1941
Mort Mills,
Martin Milner,1927
Josh Milrad,
Billy Milton,1905
Yvette Mimieux,1939
Esther Minciotti,1883
Silvio Minciotti,1883
Sal Mineo,1939
Jan Miner,
Liza Minnelli,1946
Mary Miles Minter,1902
Emile Minty,
MiouMiou,1950
Irene Miracle,
Carmen Miranda,1913
Isa Miranda,1905
Helen Mirren,1926
Cameron Mitchell,1918
Channing Mitchell,
Donna Mitchell,
Duke Mitchell,
Grant Mitchell,1874
Julien Mitchell,1884
Leigh Mitchell,
Mary Mitchell,
Millard Mitchell,1900
Thomas Mitchell,1892
Warren Mitchell,1926
Yvonne Mitchell,1925
Chris Mitchum,
James Mitchum,1938
John Mitchum,
Robert Mitchum,1917
Tom Mix,1880
Nobuko Miyamoto,
Jayne Modean,
Matthew Modine,
Gaston Modot,1887
Grace `Bambi' Moehrle,1960
Donald Moffat,
Graham Moffatt,1919
Sharyn Moffett,1936
Gerald Mohr,1914
Angela Molina,
Georgia Moll,
Henry Mollison,
Pierre Mondy,1925
Marilyn Monroe,1926
Tony Monsanto,
Lee Montague,1927
Carlos Montalban,
Ricardo Montalban,1920
Bull Montana,1887
Yves Montand,1921
Lenny Montano,
Joe Montegna,
Maria Montez,1919
M.J. Montfajon,
Belinda J. Montgomery,1950
Douglass Montgomery,1907
Elizabeth Montgomery,1933
George Montgomery,1916
Julie Montgomery,
Robert Montgomery,1904
Jim Moody,
Ron Moody,1924
Keith Moon,
Alvy Moore,
Barry Moore,
Candy Moore,
Colleen Moore,1900
Constance Moore,1919
Demi Moore,
Dennis Moore,
Dickie Moore,1925
Dudley Moore,1935
Eileen Moore,
Eva Moore,1870
Grace Moore,1901
Ida Moore,1883
Juanita Moore,1922
Julianne Moore,1961
Kenny Moore,
Kieron Moore,1925
Mary Tyler Moore,1936
Matt Moore,1888
Owen Moore,1887
Robert Moore,1927
Roger Moore,1928
Terry Moore,1929
Tom Moore,1883
Victor Moore,1876
Agnes Moorehead,1906
Santos Morales,
Erin Moran,
Gerard Moran,
Lois Moran,1909
Polly Moran,1884
Kenneth More,1914
Jeanne Moreau,1928
Agnes Morehead,
Mantan Moreland,1901
Andre Morell,1909
Rina Morelli,
Antonio Moreno,1886
Rita Moreno,1931
Cindy Morgan,
Debbi Morgan,
Dennis Morgan,1910
Frank Morgan,1890
Hank Morgan,
Harry Morgan,1915
Helen Morgan,1900
Michele Morgan,1920
Ralph Morgan,1882
Sidney Morgan,
Stafford Morgan,
Terence Morgan,1921
Cathy Moriarty,
Michael Moriarty,
Patricia Morison,1915
Lucilla Morlacchi,
Gaby Morlay,1897
Karen Morley,1905
Robert Morley,1908
Chester Morris,1901
Garrett Morris,
Glenn Morris,
Greg Morris,1934
Howard Morris,1919
Lana Morris,1930
Mary Morris,1895
Mary Morris,1915
Wayne Morris,1914
Barbara  Morrison,1908
Shelley Morrison,
David Morrissey,19bb
Doretta Morrow,1925
Carrie Ann Morrow,1975
Jeff Morrow,1913
Jo Morrow,1940
Joshua  Morrow,1975
" Carrie Ann  Morrow",1975
Vic Morrow,1932
Barry Morse,1919
David Morse,
Gary Morse,
Helen Morse,
Hilary Morse,
Robert Morse,1931
Clive Morton,1904
Maurice Moscovitch,1871
Ivan Mosjoukine,1889
Roger Mosley,
Arnold Moss,1910
Joshua Mostel,
Zero Mostel,1915
Judy Motulsky,
John MoulderBrown,1945
Peggy Mount,1916
Mickey Mouse,19bb
Jane Movak,
Movita,1915
Alan Mowbray,1893
Patrick Mower,1940
Leonard Mudie,1884
Cookie Mueller,1939
Elizabeth Mueller,1926
Armin MuellerStahl,1930
Esther Muir,1895
Gavin Muir,1907
Madhabi Mukherjee,1942
Jean Muir,1911
G.H. Mulcaster,1891
Diana Muldaur,1943
Jack Mulhall,1888
Edward Mulhare,1923
Martin Mull,
Jack Mullaney,1932
Arthur Mullard,1910
Barbara Mullen,1914
Renate Muller,1907
Richard Mulligan,1932
Billy Mumy,
Herbert Mundin,1898
Meg Mundy,
Paul Muni,1896
Jonathan Munk,
Caroline Munro,1951
Janet Munro,1934
Partice Munsel,1925
Jules Munshin,1915
Ona Munson,1906
Irina Muravyova,
Richard Murdoch,1907
George Murdock,
Audie Murphy,1924
Ben Murphy,1941
Charlie Murphy,
Donald Murphy,
Eddie Murphy,1960
George Murphy,1902
Mary Murphy,1931
Michael Murphy,
Rosemary Murphy,1925
Barbara Murray,1929
Bill Murray,
Charlie Murray,1872
Brian Doyle Murray,
Don Murray,1929
James Murray,1901
Ken Murray,1903
Mae Murray,1889
Stephen Murray,1912
Tom Murray,
Peter MurrayHill,1908
Tony Musante,1936
Clarence Muse,1889
Burt Mustin,1884
Carmel Myers,1899
Harry Myers,1886
Susan Myers,
Odette Myrtil,1898
Jim Nabors,
George Nader,1921
Anne Nagel,1912
Conrad Nagel,1896
Joanne Nail,
J.Carrol Naish,1900
Laurence Naismith,1908
Reggie Nalder,
Nita Naldi,1899
Jack Nance,
John Nance,
Alan Napier,1903
Diana Napier,1908
Brian Narelle,
Owen Nares,1888
Clarence Nash,
Marilyn Nash,1924
Mary Nash,1885
Stephen Nathan,
Mildred Natwick,1908
David Naughton,
James Naughton,1945
Rene Navarre,18bb
Alla Nazimova,1879
Amedeo Nazzari,1907
Anna Neagle,1904
Patricia Neal,1926
Tom Neal,1914
Kay Nebel,1889
Bernard Nedell,1898
Audrie J. Neenan,
Kay Neer,
Liam Neeson,
Hildegard Knef,1925
Pola Negri,1897
Hildegarde Neil,1939
Sam Neill,1948
Little Nell,
Kate Nelligan,1951
Barry Nelson,1920
Bob Nelson,
Craig T. Nelson,
David Nelson,1947
Ed Nelson,1928
Gene Nelson,1920
Judd Nelson,1959
Kenneth Nelson,
Lori Nelson,1933
Ozzie Nelson,1906
Richard Nelson,
Rick Nelson,1940
Willie Nelson,1933
Rosalba Neri,
Tommaso Neri,
Franco Nero,1942
Cathleen Nesbitt,1888
Derren Nesbitt,1932
John Nettleton,1929
Lois Nettleton,1929
Robert Neuman,
Paul Nevens,
Guy Newall,1885
Carol Irene Newell,
Bob Newhart,1923
John Newland,1916
Anthony Newlands,1926
Anthony Newley,1931
Barry Newman,1940
Lorraine Newman,
Nanette Newman,1934
Paul Newman,1925
Rachel Newman,
Scott Newman,
Julie Newmar,1930
Robert Newton,1905
Olivia NewtonJohn,1948
Marie Ney,1895
Richard Ney,1917
Haing S. Ngor,
Barbara Nichols,1929
Britt Nichols,
Dandy Nichols,1907
Nichelle Nichols,
Jack Nicholson,1937
Nora Nicholson,1892
Alex Nicol,1919
Daria Nicolodi,
Asta Nielsen,1882
Brigitte Nielsen,
Leslie Nielsen,1925
Lisa Niemi,
Gertrude Niesen,1912
Jane Nigh,1926
John Niland,
Anna Q. Nilsson,1889
Derek Nimmo,1931
Leonard Nimoy,1931
Greta Nissen,1906
David Niven,1909
Cynthia Nixon,
Marian Nixon,1904
Marni Nixon,1929
Nancy Lee Noble,
Trisha Noble,
Miyamoto Nobuko,
Magali Noel,1932
Noel-Noel,1897
Natalie Nogulich,
Philipe Noiret,1931
Bob Nolan,
Doris Nolan,1916
John Nolan,
Lloyd Nolan,1902
Mary Nolan,1905
Nick Nolte,1941
Mike Nomad,
Christine Noonan,
Tom Noonan,
Tommy Noonan,1921
Christine Norden,1924
Jack Norman,
Mabel Normand,1894
Christopher Norris,
Chuck Norris,1939
Edward Norris,1910
Mike Norris,
Jay North,1952
Michael North,1920
Sheree North,1933
Harry Northup,
Edgar Norton,1868
Jack Norton,1889
Ken Norton,
Michael Nouri,
Eva Novak,1899
Jane Novak,1896
Kim Novak,1933
Ramon Novarro,1899
Ivor Novello,1893
Jay Novello,1905
Elliott Nugent,1899
Terri Nunn,
Rudolph Nureyev,1938
France Nuyen,1939
Will Nye,
Jack Oakie,1903
Simon Oakland,1922
Vivian Oakland,1895
Wheeler Oakman,1890
Cicely Oates,
Warren Oates,1928
Dan OBannon,
Merle Oberon,1911
Ana Obregon,
Hugh OBrian,1925
Dave OBrien,1912
Edmond OBrien,1915
George OBrien,1900
Hugh OBrien,
Margaret OBrien,1937
Maria OBrien,
Pat OBrien,1899
Virginia OBrien,1921
Andrea Occhipinti,
Arthur OConnell,1908
Taffy OConnell,
Carrol OConnor,1922
Hugh OConnor,1922
Donald OConnor,1925
Glynnis OConnor,1956
Kevin OConnor,
Tim OConnor,1927
Una OConnor,1880
Joseph OConor,1910
Carroll ODea,
Denis ODea,1905
Jimmy ODea,1899
Judith ODea,
Mary Odette,1901
Cathy ODonnell,1923
Chris ODonnell,
Martha ODriscoll,1922
Bernadette OFarrell,1926
Ian Ogilvy,1943
Charles Ogle,1865
Lani OGrady,
George OHanlon,1917
Catherine OHara,
Maureen OHara,1920
Dan OHerlihy,1919
Carol Ohmart,1928
Dennis OKeefe,1908
Michael OKeefe,
Miles OKeefe,
Warner Oland,1880
Lilian Oldland,1905
Gary Oldman,1958
Michael OLeary,
Lena Olin,
Barret Oliver,
Edna May Oliver,1883
Laurence Olivier,1907
Paul Olivier,
Susan Olivier,
Edward James Olmes,
Ole Olsen,1892
Moroni Olsen,1889
James Olson,1932
Nancy Olson,1928
J. Pat OMalley,
Pat OMalley,1901
Rex OMalley,1901
Kate OMara,1939
Anny Ondra,1903
Patrick ONeal,1927
Ron ONeal,1937
Ryan ONeal,1941
Tatum ONeal,1962
Barbara ONeil,1909
Colleen ONeil,
James ONeil,
Cynthia ONeil,
Nance ONeil,1875
Sally ONeil,1913
Shannon ONeil,
Tricia ONeil,
Dick ONeill,
Jennifer ONeill,
Henry ONeill,1891
James ONeill,1847
Jennifer ONeill,1947
Maire ONeill,1885
Remy ONeill,
Yoko Ono,
Michael Ontkean,1946
David Opatoshu,1918
Alan Oppenheimer,
Don Opper,
Jerry Orbach,1935
Julian Orchard,1930
Kathleen ORegan,
Brefni ORourke,1889
Jack ORourke,
Umberto Orsini,
Frank Orth,1880
Mechu Ortiz,
Super Dave Osborne,~1945
Vivienne Osborne,1900
Henry Oscar,1891
Per Oscarsson,1927
Michael OShea,1906
Milo OShea,1926
Missy OShea,
Tessie OShea,1917
Cliff Osmond,
Pernilla Ostergren,
Jeff Osterhage,
Robert Osth,
Maureen OSullivan,1911
Richard OSullivan,1943
Ossi Oswalda,
Carre Otis,1969
Annette OToole,1953
Peter OToole,1932
Fred Ott,1860
Rafaela Ottiano,1894
Brian Oulton,1908
Gerard Oury,1919
Maria Ouspenskaya,1876
Lynne Overman,1887
Frank Overton,
Bill Owen,1914
Reginald Owen,1887
Seena Owen,1894
Tony Owen,
Patricia Owens,1925
David Oxley,1929
Frank Oz,1944
Al Pacino,1939
Anna Pacquin,1982
Joanna Pacula,
Lee Padovani,1920
Anita Page,
Gale Page,1911
Genevieve Page,1931
Geraldine Page,1924
Joy Page,
Patti Page,1927
Debra Paget,1933
Marcel Pagliero,
Jacqueline Pagnol,
Dre Pahich,
Janis Paige,1922
Mabel Paige,1879
Robert Paige,1910
Nestor Paiva,1905
Pal,
Jack Palance,1920
Michael Palin,1943
Anita Pallenberg,
Eugene Pallette,1889
Betsy Palmer,1929
Gregg Palmer,1927
Lilli Palmer,1911
Maria Palmer,1924
Gwyneth Paltrow,1973
Peter Palmer,1931
Luciana Paluzzi,1939
Franklin Pangborn,1894
Stuart Pankin,
Joe Pantoliano,
Paul Panzer,1872
Tatania Papamoskou,1964
Irene Papas,1926
Don Pardo,
Michael Pare,
Jerry Paris,1925
Barnett Parker,1890
Cecil Parker,1897
Cecilia Parker,1905
Eleanor Parker,1922
Fess Parker,1925
Jameson Parker,1947
Jean Parker,1912
MaryLoise Parker,1960
Sarah Jessica Parker,1965
Suzy Parker,1932
Barbara Parkins,1942
Larry Parks,1914
Michael Parks,1938
Parkyakarkus,1904
Dita Parlo,1906
Emory Parnell,1894
Helen Parrish,1922
Leslie Parrish,
Natasha Parry,1930
Estelle Parsons,1927
Louella Parsons,
Dolly Parton,1946
Michael Pataki,
Wally Patch,1888
Christopher Pate,
Michael Pate,1920
Pat Paterson,1911
Mandy Patinkin,
Charles Paton,
Dennis Patrick,
Gail Patrick,1911
Lee Patrick,1906
Nigel Patrick,1913
Luana Patten,1938
Elizabeth Patterson,1876
Lee Patterson,1929
Lorna Patterson,
Neva Patterson,1925
Pat Patterson,1910
Mark Patton,
Rosemary Paul,
Scott Paulin,
Morgan Paull,
Pat Paulsen,
Marisa Pavan,1932
Luciano Pavarotti,1935
Anika Pavel,
Anna Pavlova,
Muriel Pavlow,1921
Lennox Pawle,1872
Katina Paxinou,1900
John Payne,1912
Laurence Payne,1919
Barbara Payton,1934
Mary Peach,1934
Alice Pearch,1913
Eric Pearce,
Jacqueline Pearce,
Patricia Pearcy,
Jesse Pearson,
Lloyd Pearson,1897
Gregory Peck,1916
Charles Peel,
David Peel,1920
Joan Peers,
Pele,
Baby Peggy,1917
Raymond Pellegrin,1925
Lisa Pelikan,
Raymond Pellegrin,
Pina Pellicer,
Rick Pemberton,
Austin Pendleton,1940
Nat Pendleton,1895
Susan Penhaligon,1950
Christopher Penn,
Sean Penn,1960
Jack Pennick,1895
Joe Penny,
Virginia Penta,
George Peppard,1929
Stacey Peralta,
Esme Percy,1887
Jose Perez,
Francois P\'erier,1919
Anthony Perkins,1932
Millie Perkins,1939
Osgood Perkins,1892
Ron Perlman,
Gigi Perreau,1941
Anna Perrier,
Valerie Perrine,1944
Leslie Perrins,1902
Felton Perry,
Louis Perryman,
Nehemiah Persoff,1920
Jon Pertwee,1919
Joe Pesci,
Bernadette Peters,1948
Brock Peters,1927
House Peters,1880
Jean Peters,1926
Susan Peters,1921
Werner Peters,1918
Stewart Petersen,
Dorothy Peterson,1900
Pascale Petit,1938
Sammy Petrillo,
Howard Petri,
George Petrie,
Hay Petrie,1895
Olga Petrova,1886
Elizabeth Petterson,
Joanna Pettet,1944
Frank Pettingell,1891
Michelle Pfeiffer,1959
Jo Ann Pflug,
Mary Philbin,1903
Gerard Philipe,1922
Conrad Philips,1930
Lee Philips,1927
Mary Philips,1900
Robin Philips,1941
John Philliber,1872
Leslie Phillips,1924
MacKenzie Phillips,1960
Michelle Phillips,
Sian Phillips,1934
Ambrosine Philpotts,1912
James Phipps,
Nicholas Phipps,1913
River Phoenix,1970
Michel Piccoli,1925
Paloma Picasso,
Paul Picerni,1922
Irving Pichel,1891
Sorrells Pickard,
Slim Pickens,1919
Jack Pickford,1896
Lottie Pickford,1895
Mary Pickford,1893
Wilfred Pickles,1904
Ronald Pickup,1940
Molly Picon,1898
Walter Pidgeon,1897
Tiana Pierce,
Francis Pierlot,1976
Tempe Pigott,1884
Nova Pilbeam,1919
Bronson Pinchot,
Miguel Pinero,
Dominique Pinon,
Gordon Pinsent,1933
Danny Pintauro,
Ezio Pinza,1893
The Sons of the Pioneers,n.a.
Frederick Piper,1902
Marie-France Pisier,1944
Wensley Pithey,1914
Brad Pitt,dob
Ingrid Pitt,1944
Zasu Pitts,1898
Mary Kay Place,
Michele Placich,
Roger Planchon,
Dana Plato,
Edward Platt,1916
Louise Platt,1914
Marc Platt,1913
Moliere Players,n.a.
Donald Pleasence,1919
Suzanne Pleshette,1937
Hilda Plowright,
Joan Plowright,1929
Amanda Plummer,
Christopher Plummer,1927
Patricia Plunkett,1928
Rossana Podesta,1934
Adelina Poerio,
Eric Pohlmann,1903
Sidney Poitier,1924
Jean Poiret,
Roman Polanski,1933
Sydney Pollack,1934
Michael J. Pollard,1939
Snub Pollard,1886
Tommy Pollard,
Sarah Polley,19bb
Ellen Pollock,1903
Lily Pons,1904
Roy Poole,
Albert Popwell,
Paul Porcasi,1880
Don Porter,
Eric Porter,
Nyree Dawn Porter,1940
Eric Portman,1903
Natalie Portman,1981
Markie Post,
Madeline Potter,
Annie Potts,
Cliff Potts,
Georges Poujouly,1940
C.C.H. Pounder,
Louise Pounds,
Phyllis Povah,
Dick Powell,1904
Eleanor Powell,1910
Frank Powell,
Jane Powell,1929
Joynson Powell,
Michael Powell,1905
Robert Powell,1946
Sandy Powell,1898
William Powell,1892
Hartley Power,1894
Taryn Power,
Tyrone Power,1913
Tyrone Power Snr,1869
Mala Powers,1931
Stefanie Powers,1942
Tom Powers,1890
Joan Prather,
Wolfgang Preiss,
June Preisser,1921
Albert Prejean,1894
Otto Preminger,1906
Lucy Prentiss,
Paula Prentiss,1939
Robert Prescott,
Donna Prescow,
Micheline Presle,1922
Elvis Presley,1935
Priscilla Presley,1950
Harve Presnell,1933
Kelly Preston,1963
Robert Preston,1917
Marie Prevost,1893
Alan Price,
Dennis Price,1915
Nancy Price,1880
Vincent Price,1911
Martin Priest,
Barry Primus,1938
Prince,1958
William Prince,1913
Victoria Principal,1945
Andrew Prine,1936
Aileen Pringle,1895
Jurgen Prochnow,
Robert Prosky,
Jed Prouty,1879
Dorothy Provine,1937
David Prowse,
Juliet Prowse,1937
Cameron Prudhomme,
Jonathan Pryce,1947
Nicholas Pryor,
Richard Pryor,1940
Vladimir Pucholt,
Frank Puglia,1892
Lilo Pulver,1929
Dick Purcell,1908
Lee Purcell,
Noel Purcell,1900
Reginald Purdell,1896
Edmund Purdom,1924
Linda Purl,1955
Edna Purviance,1894
Roselyne Puyo,
Denver Pyle,1920
Monty Python,
Dennis Quaid,1955
Randy Quaid,1953
John Qualen,
Robert Quarry,1923
Anna Quayle,1937
Anthony Quayle,1913
Diana Quick,1946
Rita Quigley,
Eddie Quillan,1907
Dennis Quilley,1933
Richard Quine,1920
Kathleen Quinlan,1954
Aidan Quinn,
Aileen Quinn,
Anthony Quinn,1915
Bill Quinn,
Valerie Quinnessen,
Francine Racette,
Kurt Raab,
Basil Radford,1897
M.G. Ramachandran,
Gilda Radner,*
Chips Rafferty,1909
Frances Rafferty,1922
Michael Raffetto,
Deborah Raffin,1953
George Raft,1895
Rags Ragland,1905
Steve Railsback,
Raimu,1883
Douglas Rain,
Jack Rain,1895
Luise Rainer,1909
Cristina Raines,1954
Ella Raines,1921
Claude Rains,1889
Ford Rainey,
Bill Raisch,
Rohn Raitt,1921
Laya Raki,1927
Giovanna Ralli,1935
Jessie Ralph,1864
Esther Ralston,1902
Jobyna Ralston,1901
Vera Hruba Ralston,1921
Marjorie Rambeau,1889
Dack Rambo,1941
Laura Rambotham,
Harold Ramis,
Charlotte Rampling,1945
Sally Rand,1904
Tony Randall,1920
Ron Randell,1918
Frank Randie,1901
Anders Randolph,1876
Elsie Randolph,1904
Jane Randolph,1919
John Randolph,1917
Doris Rankin,
Prunella Ransome,1943
David Rappaport,
Michael Rappaport,
Michael Rapport,
Fritz Rasp,1891
Thalmus Rasulala,1939
Mikhail Rasumny,1890
Basil Rathbone,1892
Gregory Ratoff,1897
Peter Ratray,
Heather Rattray,
Blanche Ravalec,
Herbert Rawlinson,1885
Aldo Ray,1926
Andrew Ray,1939
Charles Ray,1891
Johnnie Ray,1927
Rene Ray,1912
Ted Ray,1906
Carol Raye,1923
Martha Raye,1916
Candy Raymond,
Cyril Raymond,1897
Gary Raymond,1935
Gene Raymond,1908
Paula Raymond,1923
Sheila Raynor,
Stephen Rea,
James Read,
Bertice Reading,
Ronald Reagan,1911
Rex Reason,1928
Billy Redden,
Helen Reddy,
William Redfield,
Basil Redford,
Robert Redford,1937
Corin Redgrave,1939
Jemma Redgrave,
Lynn Redgrave,1943
Michael Redgrave,1908
Vanessa Redgrave,1937
Joyce Redman,1918
Liam Redmond,1913
Moira Redmond,1958
Alan Reed,1908
Donna Reed,1921
George Reed,1867
Jerry Reed,
Maxwell Reed,1920
Oliver Reed,1938
Pamela Reed,*
Philip Reed,1908
Robert Reed,
Tracy Reed,
Harry Reems,1947
Angharad Rees,1949
Roger Rees,1944
Tom Reese,1930
Ada Reeve,1874
Christopher Reeve,1952
George Reeves,1932
Kynaston Reeves,1893
Steve Reeves,1926
Joe Regalbuto,
Serge Reggiani,1922
Frank Reicher,1875
Whit Reichert,
Beryl Reid,1918
Carl Benton Reid,1894
Elliott Reid,1920
Frances Reid,
Kate Reid,1930
Wallace Reid,1890
Peter Reigert,
Tom Reilly,
Carl Reiner,1922
Rob Reiner,1945
Thomas Reiner,
Judge Reinhold,
Ann Reinking,1949
Winston Rekert,
George Relph,1888
James Remar,
Lee Remick,1935
Bert Remsen,1925
Duncan Renaldo,1904
Simone Renant,
Liz Renay,
James Rennie,1890
Michael Rennie,1909
Kelly Reno,
Pierre Renoir,1885
Eva Renzi,1944
Dan Resin,
Tommy Rettig,1951
Anne Revere,1903
Dorothy Revier,1904
Clive Revill,1930
Aldo Rey,
Alejandro Rey,
Fernando Rey,1915
Adeline deWalt Reynolds,1862
Burt Reynolds,1936
Debbie Reynolds,1932
Gene Reynolds,1925
Joyce Reynolds,1924
Marjorie Reynolds,1921
Michael J. Reynolds,
Peter Reynolds,1926
Barbara Rhoades,1947
Sybil Rhoda,
Betty Jane Rhodes,1921
Erik Rhodes,1906
Marjorie Rhodes,1902
Madlyn Rhue,1934
Paul Rhys,
John RhysDavies,
Candice Rialzon,
Renie Riano,1899
Florence Rice,1907
Joan Rice,1930
Charlie Rich,1932
Irene Rich,1891
Cliff Richard,1940
Addison Richards,1887
Ann Richards,1918
